label: guard  suite: engine/scripts/hooks/guard-worktree-removal.test.sh  started: 2026-09-13T10:04:12Z
worktree: /Users/alex/ab/richos-wt/frank-fable-c9  HEAD: 151fa53f0026c14405bf19a91399fef16d8f2daf
  PASS  f3 double-fire appends EXACTLY ONE new ack line (dedup)
  PASS  f4 a DIFFERENT ack still appends (dedup is not swallowing)
  PASS  i  missing python3 -> fail-closed (exit 2)
  PASS  j  unadopted repository -> stand down (exit 0)
  PASS  RG1 agent: workspaces.sh integration --branch -> refused
  PASS  RG2 agent: workspaces.py integration --correct -> refused
  PASS  RG3 lead: the same recording -> allow
  PASS  RG4 agent: workspaces.sh status (records nothing) -> allow
  PASS  RG5 agent: git branch -f <recorded> HEAD -> refused
  PASS  RG6 agent: git update-ref refs/heads/<recorded> -> refused
  PASS  RG7 agent: git push . HEAD:<recorded> -> refused
  PASS  RG8 agent: git branch -f <unrecorded> HEAD -> allow (precision)
  PASS  RG9 lead: git branch -f <recorded> HEAD -> allow (landing is his)
  PASS  RG10 the refusal names point 14
  -- round 8: every deleter of a codex/ ref (anyone), every mover (an agent), the doorway --
  PASS  CX1 agent: git update-ref -d refs/heads/codex/<x> -> refused (a deleter)
  PASS  CX1b lead: the same deleter -> refused too (no override, like branch -D)
  PASS  CX2 agent: git push --delete . codex/<x> -> refused
  PASS  CX3 agent: git push . :codex/<x> (an empty source deletes) -> refused
  PASS  CX4 agent: git push . :refs/heads/codex/<x> -> refused
  PASS  CX5 agent: git branch -M codex/<x> not-codex (renamed away: the ref is gone) -> refused
  PASS  CX6 agent: git branch -f codex/<x> HEAD (a mover) -> refused
  PASS  CX6b lead: git branch -f codex/<x> HEAD -> allow (the lead's writes pass)
  PASS  CX7 agent: git branch -C side codex/<x> (a copy ONTO it) -> refused
  PASS  CX7b agent: git branch codex/new HEAD (creating a codex/ ref) -> refused
  PASS  CX8 agent: git update-ref refs/heads/codex/<x> HEAD -> refused
  PASS  CX9 agent: git push . HEAD:codex/<x> -> refused
  PASS  CX9b agent: git push . +HEAD:refs/heads/codex/<x> -> refused
  PASS  CX9c agent: git fetch . +HEAD:codex/<x> -> refused
  PASS  CX9d agent: git pull . +linked:codex/<x> -> refused
  PASS  CX10 agent: git checkout -B codex/<x> -> refused
  PASS  CX10b agent: git switch -C codex/<x> -> refused
  PASS  CX10c agent: git checkout codex/<x> (the doorway) -> refused
  PASS  CX10d agent: git switch codex/<x> -> refused
  PASS  CX11 agent: git symbolic-ref refs/heads/codex/<x> refs/heads/main (the branch becomes a symref) -> refused
  PASS  CX11b agent: git symbolic-ref HEAD refs/heads/codex/<x> (the doorway by another name) -> refused
  PASS  CX11c agent: git symbolic-ref HEAD (a read) -> allow
  PASS  CX11d agent: git symbolic-ref --short HEAD -> allow
  PASS  CX12 agent: git send-pack . HEAD:refs/heads/codex/<x> (the plumbing under push) -> refused
  PASS  CX13 agent: git -C <codex workspace> commit (working INSIDE it) -> refused
  PASS  CX13b agent: cd <codex workspace> && a shell redirect -> refused
  PASS  CX13c agent: a call whose cwd IS the codex workspace -> refused
  PASS  CX13d lead: git -C <codex workspace> commit -> allow (the lead's calls pass)
  PASS  CX14 precision, agent: git log codex/<x> -> allow
  PASS  CX14b agent: git branch --contains codex/<x> -> allow
  PASS  CX14c agent: git branch --list 'codex/*' -> allow
  PASS  CX14d agent: git checkout -b cc/copy codex/<x> (a COPY cut from the codex/ tip) -> allow
  PASS  CX14e agent: git diff codex/<x> -> allow
  PASS  CX14f agent: git checkout codex/<x> -- README (a file restored, HEAD untouched) -> allow
  PASS  CX14g agent: cd <its own cc/ workspace> && git commit -> allow
  PASS  CX15 the refusal names point 2
  -- round 8: the recorded branch — every verb that names it, and the doorway --
  PASS  RG11 agent: git branch -C linked main (a copy ONTO the recorded branch) -> refused
  PASS  RG11b agent: git branch -c main scratch (a copy FROM it) -> allow
  PASS  RG12 agent: git push . HEAD:heads/main (another destination spelling) -> refused
  PASS  RG13 agent: git fetch . HEAD:main -> refused
  PASS  RG13b agent: git fetch . +HEAD:refs/heads/main -> refused
  PASS  RG13c agent: git pull . +linked:main -> refused
  PASS  RG14 agent: git checkout -B main -> refused
  PASS  RG14b agent: git switch -C main -> refused
  PASS  RG15 agent: git checkout main (the doorway: commit/reset/merge/rebase then move it unnamed) -> refused
  PASS  RG15b agent: git switch main -> refused
  PASS  RG16 agent: git symbolic-ref refs/heads/main refs/heads/linked -> refused
  PASS  RG16b agent: git symbolic-ref HEAD refs/heads/main -> refused
  PASS  RG17 agent: git send-pack . HEAD:refs/heads/main -> refused
  PASS  RG18 agent: git update-ref --stdin with 'update refs/heads/main HEAD' in the call -> refused
  PASS  RG19 agent: git push --delete . main -> refused
  PASS  RG20 lead: git checkout main -> allow (landing is his)
  PASS  RG21 precision, agent: git checkout linked (nobody recorded it) -> allow
  PASS  RG21b agent: git checkout -B side/x -> allow
  PASS  RG21c agent: git fetch origin main (no destination named: FETCH_HEAD only) -> allow
  PASS  RG21d agent: a bare git pull -> allow
  PASS  RG21e agent: git merge main (reads it) -> allow
  PASS  k  DECLARED unadopted root -> BROKEN, blocks (exit 2)

=== guard-worktree-removal tests: all 161 passed ===
exit: 0
finished: 2026-09-13T10:04:56Z
